Post_ID,Show_Name,Platform,Genre,Clip_Type,Length_s,Views,Likes,Shares,Comments,Upload_Date,Hashtags,Conversion_Rate,Engagement_Rate
N001,Quantum Exile,YouTube Shorts,Sci-Fi,Twist Teaser,19,461532,50445,13982,5980,2025-01-01,#NebulaVisions #SciFiTwist #Quantum,0.065,0.15255063570889993
N002,Crimson Echoes,TikTok,Horror,Echo Effect Challenge,15,662964,114554,43375,18091,2025-01-02,#JumpScare #CreepyClips #NebulaVisions,0.096,0.26550461261848307
N003,Crimson Echoes,TikTok,Horror,Echo Effect Challenge,14,872256,151159,47969,23948,2025-01-03,#NebulaVisions #HorrorShorts #CreepyClips,0.103,0.25574601951720594
N004,Vortex Renegades,TikTok,Action,Stunt Breakdown,12,621332,102042,29736,15833,2025-01-04,#Stunts #ActionPacked #NebulaVisions,0.054,0.23757186174219258
N005,Shadows of Eldritch Hollow,YouTube Shorts,Horror,Jump Scare Clip,8,565282,72197,26669,13100,2025-01-05,#NebulaVisions #JumpScare #HorrorShorts,0.048,0.1980710512629095
N006,Quantum Exile,YouTube Shorts,Sci-Fi,Twist Teaser,20,255342,29230,8768,5080,2025-01-06,#NebulaVisions #SciFiTwist #Quantum,0.051,0.1687070673841358
N007,Crimson Echoes,TikTok,Horror,Echo Effect Challenge,18,748766,137684,52200,15099,2025-01-07,#NebulaVisions #CreepyClips #JumpScare,0.073,0.27376109492151085
N008,Vortex Renegades,TikTok,Action,Stunt Breakdown,9,779832,134351,39021,19521,2025-01-08,#NebulaVisions #EpicFight #ActionPacked,0.072,0.24735199376275915
N009,Quantum Exile,YouTube Shorts,Sci-Fi,Twist Teaser,22,446083,44177,16850,7429,2025-01-09,#SciFiTwist #Quantum #Multiverse,0.044,0.15346023049522173
N010,Vortex Renegades,TikTok,Action,Stunt Breakdown,9,639573,89749,27135,12197,2025-01-10,#EpicFight #ActionPacked #NebulaVisions,0.075,0.2018237167610265
N011,Shadows of Eldritch Hollow,YouTube Shorts,Horror,Jump Scare Clip,7,507846,65082,17952,12065,2025-01-11,#JumpScare #NebulaVisions #HorrorShorts,0.037,0.1872595235563537
N012,Shadows of Eldritch Hollow,YouTube Shorts,Horror,Jump Scare Clip,11,423831,56173,14279,8461,2025-01-12,#JumpScare #CreepyClips #NebulaVisions,0.049,0.18618977847302345
N013,Vortex Renegades,TikTok,Action,Stunt Breakdown,11,642722,104663,27126,14818,2025-01-13,#NebulaVisions #ActionPacked #EpicFight,0.07,0.2281032857129521
N014,Vortex Renegades,TikTok,Action,Stunt Breakdown,15,749525,121921,32735,15209,2025-01-14,#NebulaVisions #ActionPacked #EpicFight,0.072,0.2266301991261132
N015,Crimson Echoes,TikTok,Horror,Echo Effect Challenge,18,832842,139157,41058,25039,2025-01-15,#HorrorShorts #JumpScare #CreepyClips,0.09,0.24645010698307723
N016,Shadows of Eldritch Hollow,YouTube Shorts,Horror,Jump Scare Clip,13,539172,61003,17594,8023,2025-01-16,#HorrorShorts #NebulaVisions #JumpScare,0.05,0.1606537431468993
N017,Crimson Echoes,TikTok,Horror,Echo Effect Challenge,18,696263,131855,41259,14220,2025-01-17,#JumpScare #NebulaVisions #CreepyClips,0.07,0.2690563766852468
N018,Quantum Exile,YouTube Shorts,Sci-Fi,Twist Teaser,22,342922,39039,9442,5937,2025-01-18,#Quantum #NebulaVisions #Multiverse,0.067,0.15868914796950911
N019,Vortex Renegades,TikTok,Action,Stunt Breakdown,12,688870,108653,31220,12382,2025-01-19,#Stunts #ActionPacked #NebulaVisions,0.072,0.2210213828443683
N020,Quantum Exile,YouTube Shorts,Sci-Fi,Twist Teaser,17,260481,29585,7543,5103,2025-01-20,#SciFiTwist #NebulaVisions #Quantum,0.073,0.1621269881488477
N021,Quantum Exile,YouTube Shorts,Sci-Fi,Twist Teaser,17,465594,45249,14099,7530,2025-01-21,#SciFiTwist #NebulaVisions #Quantum,0.065,0.14364016718428502
N022,Vortex Renegades,TikTok,Action,Stunt Breakdown,9,617917,105934,29258,20606,2025-01-22,#EpicFight #NebulaVisions #ActionPacked,0.05,0.25213418630657514
N023,Shadows of Eldritch Hollow,YouTube Shorts,Horror,Jump Scare Clip,7,611800,76186,23840,14286,2025-01-23,#JumpScare #CreepyClips #NebulaVisions,0.043,0.18684537430532855
N024,Quantum Exile,YouTube Shorts,Sci-Fi,Twist Teaser,20,374554,33849,11450,6128,2025-01-24,#NebulaVisions #SciFiTwist #Quantum,0.074,0.1373019644697427
