Post_ID,Show_Name,Platform,Genre,Clip_Type,Length_s,Views,Likes,Shares,Comments,Upload_Date,Hashtags,Conversion_Rate
N001,Quantum Exile,YouTube Shorts,Sci-Fi,Twist Teaser,19,461532,50445,13982,5980,2025-01-01,#NebulaVisions #SciFiTwist #Quantum,0.065
N002,Crimson Echoes,TikTok,Horror,Echo Effect Challenge,15,662964,114554,43375,18091,2025-01-02,#JumpScare #CreepyClips #NebulaVisions,0.096
N003,Crimson Echoes,TikTok,Horror,Echo Effect Challenge,14,872256,151159,47969,23948,2025-01-03,#NebulaVisions #HorrorShorts #CreepyClips,0.103
N004,Vortex Renegades,TikTok,Action,Stunt Breakdown,12,621332,102042,29736,15833,2025-01-04,#Stunts #ActionPacked #NebulaVisions,0.054
N005,Shadows of Eldritch Hollow,YouTube Shorts,Horror,Jump Scare Clip,8,565282,72197,26669,13100,2025-01-05,#NebulaVisions #JumpScare #HorrorShorts,0.048
N006,Quantum Exile,YouTube Shorts,Sci-Fi,Twist Teaser,20,255342,29230,8768,5080,2025-01-06,#NebulaVisions #SciFiTwist #Quantum,0.051
N007,Crimson Echoes,TikTok,Horror,Echo Effect Challenge,18,748766,137684,52200,15099,2025-01-07,#NebulaVisions #CreepyClips #JumpScare,0.073
N008,Vortex Renegades,TikTok,Action,Stunt Breakdown,9,779832,134351,39021,19521,2025-01-08,#NebulaVisions #EpicFight #ActionPacked,0.072
N009,Quantum Exile,YouTube Shorts,Sci-Fi,Twist Teaser,22,446083,44177,16850,7429,2025-01-09,#SciFiTwist #Quantum #Multiverse,0.044
N010,Vortex Renegades,TikTok,Action,Stunt Breakdown,9,639573,89749,27135,12197,2025-01-10,#EpicFight #ActionPacked #NebulaVisions,0.075
N011,Shadows of Eldritch Hollow,YouTube Shorts,Horror,Jump Scare Clip,7,507846,65082,17952,12065,2025-01-11,#JumpScare #NebulaVisions #HorrorShorts,0.037
N012,Shadows of Eldritch Hollow,YouTube Shorts,Horror,Jump Scare Clip,11,423831,56173,14279,8461,2025-01-12,#JumpScare #CreepyClips #NebulaVisions,0.049
N013,Vortex Renegades,TikTok,Action,Stunt Breakdown,11,642722,104663,27126,14818,2025-01-13,#NebulaVisions #ActionPacked #EpicFight,0.07
N014,Vortex Renegades,TikTok,Action,Stunt Breakdown,15,749525,121921,32735,15209,2025-01-14,#NebulaVisions #ActionPacked #EpicFight,0.072
N015,Crimson Echoes,TikTok,Horror,Echo Effect Challenge,18,832842,139157,41058,25039,2025-01-15,#HorrorShorts #JumpScare #CreepyClips,0.09
N016,Shadows of Eldritch Hollow,YouTube Shorts,Horror,Jump Scare Clip,13,539172,61003,17594,8023,2025-01-16,#HorrorShorts #NebulaVisions #JumpScare,0.05
N017,Crimson Echoes,TikTok,Horror,Echo Effect Challenge,18,696263,131855,41259,14220,2025-01-17,#JumpScare #NebulaVisions #CreepyClips,0.07
N018,Quantum Exile,YouTube Shorts,Sci-Fi,Twist Teaser,22,342922,39039,9442,5937,2025-01-18,#Quantum #NebulaVisions #Multiverse,0.067
N019,Vortex Renegades,TikTok,Action,Stunt Breakdown,12,688870,108653,31220,12382,2025-01-19,#Stunts #ActionPacked #NebulaVisions,0.072
N020,Quantum Exile,YouTube Shorts,Sci-Fi,Twist Teaser,17,260481,29585,7543,5103,2025-01-20,#SciFiTwist #NebulaVisions #Quantum,0.073
N021,Quantum Exile,YouTube Shorts,Sci-Fi,Twist Teaser,17,465594,45249,14099,7530,2025-01-21,#SciFiTwist #NebulaVisions #Quantum,0.065
N022,Vortex Renegades,TikTok,Action,Stunt Breakdown,9,617917,105934,29258,20606,2025-01-22,#EpicFight #NebulaVisions #ActionPacked,0.05
N023,Shadows of Eldritch Hollow,YouTube Shorts,Horror,Jump Scare Clip,7,611800,76186,23840,14286,2025-01-23,#JumpScare #CreepyClips #NebulaVisions,0.043
N024,Quantum Exile,YouTube Shorts,Sci-Fi,Twist Teaser,20,374554,33849,11450,6128,2025-01-24,#NebulaVisions #SciFiTwist #Quantum,0.074
N025,Crimson Echoes,TikTok,Horror,Echo Effect Challenge,12,856204,174884,45907,31855,2025-01-25,#HorrorShorts #JumpScare #NebulaVisions,0.091
N026,Vortex Renegades,TikTok,Action,Stunt Breakdown,15,633582,91938,28076,13340,2025-01-26,#NebulaVisions #EpicFight #ActionPacked,0.076
